Surface_total,Surface_usable,Room,Bedroom,Bathroom,Parking,Service_fees,Location,URL,Price
57.0,57.0,,2.0,1.0,1.0,,Cerrillos,https://www.portalinmobiliario.com/MLC-979948933-arriendo-de-departamento-2-dorm-en-cerrillos-_JM#position=1&search_layout=stack&type=item&tracking_id=9210af2d-a51c-4d29-92c3-9179b24835a2,350000.0
90.0,80.0,,3.0,2.0,,120000.0,Cerrillos,https://www.portalinmobiliario.com/MLC-975109504-departamento-en-arriendo-de-3-dorm-en-cerrillos-_JM#position=2&search_layout=stack&type=item&tracking_id=9210af2d-a51c-4d29-92c3-9179b24835a2,600000.0
80.0,80.0,,3.0,1.0,1.0,4000.0,Cerrillos,https://www.portalinmobiliario.com/MLC-980178986-se-arrienda-departamento-en-cerrillos-_JM#position=3&search_layout=stack&type=item&tracking_id=9210af2d-a51c-4d29-92c3-9179b24835a2,450000.0
57.0,57.0,,3.0,1.0,1.0,,Cerro Navia,https://www.portalinmobiliario.com/MLC-979617470-arriendo-de-departamento-3-dorm-en-cerro-navia-_JM#position=1&search_layout=stack&type=item&tracking_id=b480bab0-7c22-488e-8308-f9c534221fa1,450000.0
137.0,120.0,,3.0,2.0,2.0,150000.0,Colina,https://www.portalinmobiliario.com/MLC-977644799-moderno-y-espectacular-loft-amoblado-chicureo-townhouse-_JM#position=1&search_layout=stack&type=item&tracking_id=217fb817-735d-4094-84ac-c069985f850c,1079369.0
67.0,63.0,3.0,3.0,2.0,1.0,50000.0,Conchali,https://www.portalinmobiliario.com/MLC-977810118-departamento-avenida-independencia-id-65501-_JM#position=1&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,510000.0
49.0,49.0,,3.0,1.0,1.0,39000.0,Conchali,https://www.portalinmobiliario.com/MLC-979662826-depto-duplex-en-arriendo-de-3d431b43-e-en-conchali-_JM#position=2&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,440000.0
70.0,70.0,,2.0,2.0,,60000.0,Conchali,https://www.portalinmobiliario.com/MLC-980204235-departamento-en-arriendo-comuna-de-conchali-_JM#position=3&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,450000.0
50.0,50.0,,3.0,2.0,,,Conchali,https://www.portalinmobiliario.com/MLC-973606231-departamento-3d2b-239-conchali-_JM#position=4&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,399000.0
,,,,,,,Conchali,http://portalinmobiliario.com/MLC-980211880-dpto-arriendo-fermin-vivaceta-_JM#position=5&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,
65.0,65.0,,3.0,1.0,1.0,,Conchali,https://www.portalinmobiliario.com/MLC-977520653-departamento-arriendo-metro-conchali-_JM#position=6&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,440000.0
60.0,60.0,,2.0,2.0,1.0,65000.0,Conchali,https://www.portalinmobiliario.com/MLC-979559742-arriendo-dpto-independencia-cercano-a-supermercado-y-metro-_JM#position=7&search_layout=stack&type=item&tracking_id=17981819-1456-406c-94a0-d6c0bdb1e01b,400000.0
50.0,,4.0,3.0,1.0,,,El Bosque,https://www.portalinmobiliario.com/MLC-975928806-se-arrienda-departamento-en-comuna-de-el-bosque-_JM#position=1&search_layout=stack&type=item&tracking_id=5764a716-d9a7-4c23-862c-6760fadfed6b,270000.0
56.0,56.0,,3.0,1.0,,,El Bosque,https://www.portalinmobiliario.com/MLC-975574845-arriendo-depto-comuna-el-bosque-_JM#position=2&search_layout=stack&type=item&tracking_id=5764a716-d9a7-4c23-862c-6760fadfed6b,390000.0
