Surface,Bedrooms,Bathrooms,Location,Price
21.0,1.0,1.0,Las Condes,190000.0
40.0,1.0,1.0,Las Condes,507938.0
220.0,4.0,4.0,Las Condes,1500000.0
140.0,4.0,4.0,Las Condes,1500000.0
140.0,4.0,3.0,Las Condes,1500000.0
94.0,3.0,2.0,Las Condes,870000.0
85.0,2.0,2.0,Las Condes,870000.0
133.0,3.0,3.0,Las Condes,1500000.0
140.0,4.0,4.0,Las Condes,1500000.0
140.0,4.0,4.0,Las Condes,1500000.0
130.0,4.0,3.0,Las Condes,1500000.0
140.0,3.0,3.0,Las Condes,1500000.0
80.0,2.0,2.0,Las Condes,1500000.0
78.0,2.0,2.0,Las Condes,860000.0
80.0,3.0,2.0,Las Condes,860000.0
30.0,1.0,1.0,Las Condes,500000.0
50.0,1.0,1.0,Las Condes,857146.0
160.0,3.0,3.0,Las Condes,1500000.0
140.0,4.0,4.0,Las Condes,1500000.0
140.0,4.0,4.0,Las Condes,1500000.0
38.0,1.0,1.0,Las Condes,507938.0
57.0,1.0,1.0,Las Condes,640000.0
92.0,3.0,3.0,Las Condes,1460323.0
140.0,3.0,4.0,Las Condes,1480000.0
41.0,1.0,1.0,Las Condes,520000.0
170.0,3.0,4.0,Las Condes,1490000.0
62.0,1.0,1.0,Las Condes,634923.0
38.0,1.0,1.0,Las Condes,634923.0
70.0,2.0,2.0,Las Condes,888892.0
135.0,3.0,3.0,Las Condes,1492069.0
60.0,2.0,2.0,Las Condes,650000.0
145.0,4.0,3.0,Las Condes,1492069.0
135.0,2.0,3.0,Las Condes,1492069.0
51.0,1.0,1.0,Las Condes,873600.0
120.0,3.0,3.0,Las Condes,1492069.0
160.0,4.0,4.0,Las Condes,1492069.0
120.0,3.0,3.0,Las Condes,1492069.0
144.0,4.0,4.0,Las Condes,1492069.0
127.0,4.0,3.0,Las Condes,1492069.0
85.0,2.0,2.0,Las Condes,870000.0
140.0,3.0,3.0,Las Condes,1492069.0
70.0,2.0,2.0,Las Condes,650000.0
120.0,3.0,3.0,Las Condes,1500000.0
119.0,3.0,2.0,Las Condes,857146.0
56.0,1.0,1.0,Las Condes,650000.0
140.0,4.0,4.0,Las Condes,1500000.0
140.0,4.0,4.0,Las Condes,1500000.0
140.0,3.0,3.0,Las Condes,1500323.0
180.0,4.0,4.0,Las Condes,1504767.0
40.0,1.0,1.0,Las Condes,500000.0
54.0,1.0,1.0,Las Condes,650000.0
140.0,3.0,3.0,Las Condes,1523815.0
140.0,4.0,4.0,Las Condes,1500000.0
75.0,1.0,2.0,Las Condes,1523815.0
176.0,4.0,3.0,Las Condes,1523815.0
100.0,2.0,2.0,Las Condes,1523815.0
120.0,4.0,3.0,Las Condes,1523815.0
130.0,4.0,3.0,Las Condes,1523815.0
140.0,3.0,3.0,Las Condes,1523815.0
150.0,4.0,4.0,Las Condes,1550000.0
165.0,4.0,4.0,Las Condes,1550000.0
93.0,3.0,3.0,Las Condes,1550000.0
40.0,1.0,1.0,Las Condes,500000.0
115.0,3.0,3.0,Las Condes,1460323.0
235.0,5.0,2.0,Las Condes,1500000.0
126.0,2.0,3.0,Las Condes,1500000.0
168.0,3.0,4.0,Las Condes,1500000.0
35.0,1.0,1.0,Las Condes,500000.0
130.0,3.0,2.0,Las Condes,1500000.0
60.0,1.0,1.0,Las Condes,500000.0
126.0,2.0,3.0,Las Condes,1500000.0
140.0,2.0,2.0,Las Condes,1500000.0
120.0,3.0,3.0,Las Condes,1500000.0
140.0,3.0,3.0,Las Condes,1500000.0
40.0,1.0,1.0,Las Condes,650000.0
130.0,2.0,3.0,Las Condes,1500000.0
200.0,4.0,4.0,Las Condes,1500000.0
150.0,3.0,2.0,Las Condes,1500000.0
130.0,4.0,3.0,Las Condes,1500000.0
130.0,2.0,3.0,Las Condes,1500000.0
63.0,1.0,2.0,Las Condes,851432.0
